address,reason,weight
0x493c39Da8adF2a8f2199b96FCcaFF246Da586F9c,annie-ohner.os,8659199674155779999982
0x837666cCc4C28B668988E4dAE130B125526843b7,absolute-faquery.os,10526249496221593749985
0x41860C2c0fA9f7b0dAf473391171D9690C893E98,benevolent.os,21186362009708698533296766
0x8Db4423F7Cb400f3eDD6D1deAFdDE99AD886fD57,jakka-anirudh-reddy.os,3444012267529257852085184
0x5DCa99fAcB41B44BF4217d1de0E568693d021405,nick.hypr,1007907207054625780500000000
0xe56eE0e0132939bbF53E9D0b3d2E32f75C223d1B,hypewallet.os,79512120711482763150144999
0x1548461c2AC1061b71a1cA3D498f900D03EFC006,motherfudger.os,1668404353707000000000000000
0x2125d5c285ddFBed4e9EA20d08B190eE8Bb54C8e,hyperkarl.os,53262844450011246854363400
0x8D309B19184fC72fCC45bB002D7Ea70822AFF12A,jendrixdao.os,37274996738437500000000
0x935FacB8E7a1cA633E034F65a8E3F52F17Aaf680,taiofweb33.os,833834902362525360000000
0x034E9C7baC42C945e35034d8bF0870425e82e4f7,lord-yanke-001.os,4773954292775635512446197
0xB7d0737585599436943A4d911c7E670843cd9255,majiquexp11.os,7017836910469982346211799
0xca22C688DbE89ae28B621714fAeaBFbb77bb75A8,nick1udwig.os,449998987500000000000000
0x31079E5306823ED4647fa6f8dCc906eB1abFa56D,greatest081.os,938074715241161333162599
0xDfFb9B7F70f265F50e2F9db39B884E12a1b509e8,odinsbadeye.os,3492412417516986000000000
0x4f1DCC1Fc3B5647D156920d086eaA887d39aa611,edoras-break-fast.os,3149985825000000000000000
0x5183461fA62f6f931412aB1625c4E1654902Ef5b,mraudiomoney.os,4205412507629285094050000
0x0d15ddc5D9ec6D81E77fD97041C7Ebcfc227d4cC,movement001.os,977975258951943649365799
0x7b655417604a838EAA24B903eA35afD07EDF7358,vikas333777.os,17024432262847757280000000
0x3F7520dd918872D4917E72164A797e7E05108ecD,udinerdrop13.os,432999783500000000000000
0x39f2a180eD184eaA2DaBDf46645d277B353f3517,renaitrea.os,2334835642984659112583799
0x5593b9133Efb316f2D7a9BC8Abc89E88E595D60b,summerttty.os,1074704666289854000000000
0xc3f986E82194C8D54db93A6f345920Ecc6E26Ff9,omeiza2003.os,2124199132264300000000000
0x173872853a1b872cB5ca5C1079B90a38dA42AfCE,novumordinem.os,124447946834563392000000000
0x312D2B2E40D50590694A9Ec9C3DBdFf7130588c1,lawayne-001.os,903931702866767784027000
